Time_Stamp,Input__NewOrder,Output__MAG1 Completed,Output__MAG2 Completed,Output__ReWork Completed,Emission,Grid
480.0,79.0,42.0,6.0,4.0,2456.45,2568.56
480.0,84.0,44.0,3.0,2.0,2368.72,2304.84
480.0,73.0,43.0,3.0,2.0,2248.39,2241.08
480.0,74.0,44.0,7.0,4.0,2546.7,2706.99
480.0,66.0,45.0,4.0,4.0,2540.64,2544.01
480.0,80.0,45.0,3.0,5.0,2587.88,2580.6
480.0,71.0,44.0,1.0,4.0,2428.16,2364.32
480.0,87.0,44.0,3.0,3.0,2425.98,2407.17
480.0,75.0,43.0,1.0,4.0,2563.38,2474.61
480.0,75.0,48.0,4.0,1.0,2420.32,2451.42
480.0,83.0,17.0,47.0,9.0,2236.88,4337.15
480.0,67.0,12.0,40.0,10.0,1984.01,3861.76
480.0,73.0,18.0,37.0,14.0,2398.97,4306.4
480.0,97.0,12.0,53.0,6.0,1916.9,4078.45
480.0,69.0,12.0,46.0,8.0,1883.94,3933.88
480.0,75.0,34.0,22.0,8.0,2561.31,3590.75
480.0,69.0,36.0,24.0,4.0,2473.25,3497.17
480.0,77.0,28.0,30.0,5.0,2207.91,3444.57
480.0,80.0,34.0,27.0,5.0,2443.44,3568.1
480.0,79.0,30.0,28.0,9.0,2535.21,3932.65
480.0,71.0,13.0,36.0,6.0,1695.62,3341.9
480.0,84.0,8.0,41.0,5.0,1420.37,3294.48
480.0,83.0,15.0,26.0,9.0,1764.52,3210.36
480.0,73.0,19.0,32.0,5.0,1820.51,3386.84
480.0,73.0,6.0,39.0,9.0,1571.7,3569.55
480.0,83.0,9.0,35.0,7.0,1474.04,3108.74
480.0,75.0,6.0,38.0,5.0,1278.49,2946.96
480.0,76.0,7.0,34.0,7.0,1365.58,2958.49
480.0,88.0,7.0,40.0,5.0,1407.16,3163.45
480.0,70.0,7.0,39.0,4.0,1279.55,2905.47
480.0,74.0,33.0,27.0,5.0,2435.41,3622.3
480.0,66.0,25.0,31.0,6.0,2209.91,3488.0
480.0,79.0,33.0,27.0,8.0,2597.16,3872.45
480.0,73.0,33.0,34.0,3.0,2393.14,3781.95
480.0,80.0,25.0,35.0,9.0,2354.45,4022.74
480.0,72.0,2.0,51.0,8.0,1479.09,3675.85
480.0,64.0,7.0,47.0,7.0,1630.23,3672.01
480.0,71.0,4.0,49.0,9.0,1605.68,3777.88
480.0,76.0,3.0,52.0,7.0,1511.67,3740.61
480.0,74.0,2.0,50.0,10.0,1585.13,3871.36
480.0,79.0,12.0,45.0,12.0,2263.18,4352.07
480.0,72.0,11.0,44.0,12.0,2097.47,4178.59
480.0,83.0,18.0,33.0,15.0,2428.79,4295.81
480.0,88.0,16.0,47.0,11.0,2287.06,4431.31
480.0,79.0,11.0,46.0,11.0,2080.38,4226.66
480.0,90.0,20.0,46.0,9.0,2305.81,4386.53
480.0,77.0,23.0,41.0,8.0,2371.4,4140.21
480.0,79.0,19.0,39.0,7.0,2073.53,3773.41
480.0,82.0,11.0,46.0,7.0,1797.2,3807.25
480.0,76.0,19.0,43.0,10.0,2304.01,4276.9
480.0,71.0,28.0,33.0,8.0,2442.85,4031.92
480.0,72.0,24.0,33.0,9.0,2290.45,3937.9
480.0,80.0,31.0,34.0,12.0,2870.56,4524.37
480.0,96.0,29.0,46.0,8.0,2790.63,4686.7
480.0,71.0,17.0,45.0,6.0,2064.47,3924.72
480.0,81.0,31.0,33.0,13.0,2956.11,4480.85
480.0,68.0,28.0,28.0,8.0,2399.0,3746.14
480.0,88.0,34.0,41.0,6.0,2868.52,4431.27
480.0,72.0,27.0,32.0,9.0,2438.13,3945.09
480.0,76.0,21.0,44.0,8.0,2397.42,4239.67
480.0,92.0,39.0,33.0,12.0,3311.24,4814.99
480.0,73.0,28.0,29.0,8.0,2480.48,3828.95
480.0,84.0,37.0,31.0,11.0,3017.78,4531.94
480.0,73.0,24.0,34.0,11.0,2533.79,4083.91
480.0,69.0,25.0,33.0,6.0,2226.77,3615.32
480.0,75.0,44.0,10.0,6.0,2744.11,3239.79
480.0,71.0,43.0,8.0,5.0,2639.22,3009.86
480.0,77.0,40.0,11.0,7.0,2698.15,3150.29
480.0,72.0,44.0,13.0,3.0,2630.0,3112.77
480.0,73.0,45.0,18.0,3.0,2709.99,3439.41
480.0,91.0,11.0,49.0,10.0,2076.29,4373.34
480.0,68.0,5.0,48.0,11.0,1756.92,3997.01
480.0,75.0,9.0,41.0,17.0,2246.39,4403.7
480.0,71.0,7.0,54.0,5.0,1600.44,3809.86
480.0,78.0,9.0,49.0,11.0,1974.97,4254.69
480.0,76.0,21.0,37.0,3.0,1872.07,3443.87
480.0,76.0,24.0,36.0,10.0,2462.83,4131.2
480.0,79.0,23.0,25.0,6.0,1950.43,3259.44
480.0,74.0,22.0,35.0,5.0,2046.05,3570.6
480.0,72.0,15.0,38.0,5.0,1749.11,3551.51
480.0,81.0,45.0,2.0,3.0,2482.78,2512.24
480.0,77.0,42.0,0.0,4.0,2419.41,2393.07
480.0,77.0,44.0,1.0,3.0,2385.9,2379.13
480.0,81.0,46.0,4.0,3.0,2531.28,2657.35
480.0,84.0,45.0,1.0,3.0,2439.35,2452.23
480.0,74.0,42.0,19.0,3.0,2612.46,3349.03
480.0,76.0,41.0,22.0,5.0,2829.88,3654.71
480.0,70.0,39.0,16.0,9.0,2894.93,3649.62
480.0,88.0,45.0,17.0,3.0,2708.68,3326.63
480.0,75.0,43.0,17.0,5.0,2731.93,3421.92
480.0,78.0,7.0,45.0,9.0,1689.92,3692.42
480.0,75.0,5.0,44.0,8.0,1497.42,3381.25
480.0,74.0,12.0,36.0,10.0,1841.97,3552.68
480.0,85.0,5.0,45.0,8.0,1527.84,3498.8
480.0,75.0,8.0,48.0,4.0,1496.23,3427.79
480.0,75.0,12.0,41.0,5.0,1680.9,3454.35
480.0,72.0,11.0,37.0,4.0,1484.12,3089.36
480.0,81.0,15.0,28.0,8.0,1714.59,3186.72
480.0,83.0,9.0,42.0,6.0,1566.54,3374.47
480.0,78.0,9.0,44.0,5.0,1554.5,3428.44
480.0,72.0,41.0,13.0,6.0,2693.58,3229.63
480.0,74.0,40.0,11.0,4.0,2479.56,2880.25
480.0,84.0,42.0,11.0,5.0,2617.7,3006.11
480.0,79.0,45.0,11.0,3.0,2608.71,2980.45
480.0,76.0,46.0,11.0,3.0,2635.55,2999.45
