Time_Stamp,Robot1__Grid,MAG1__Emission,MAG1__Grid,ReMAG__Emission,ReMAG__Grid,MAG2__Emission,MAG2__Grid,Robot2__Grid,Robot2_ready__Grid,MAG1_ready__Grid,Robot1_ready__Grid,MAG2_ready__Grid,ReMAG_ready__Grid,Robot1_Idle_to_ShutDown__Grid,Robot1_Restart_to_Idle__Grid,Robot2_Idle_to_ShutDown__Grid,Robot2_Restart_to_Idle__Grid,MAG1_Idle_to_ShutDown__Grid,MAG1_Restart_to_Idle__Grid,MAG2_Idle_to_ShutDown__Grid,MAG2_Restart_to_Idle__Grid,ReMAG_Idle_to_ShutDown__Grid,ReMAG_Restart_to_Idle__Grid
480.0,24.71,2300.2,1840.16,316.79,289.63,237.79,644.02,297.45,9.35,1.97,0.69,27.18,11.16,6.55,2.4,2.46,0.75,2.57,4.0,40.97,39.0,52.0,12.8
480.0,188.53,664.52,531.61,243.31,222.45,763.08,2066.68,38.78,0.45,0.01,0.0,36.14,4.04,0.63,0.4,10.07,4.5,10.54,44.0,25.14,26.0,25.93,16.0
480.0,182.7,882.33,705.86,162.05,148.16,725.44,1964.73,58.74,0.75,0.25,0.0,38.02,0.0,0.63,0.4,9.18,4.5,10.54,48.0,18.86,19.5,17.28,9.6
480.0,182.49,1081.02,864.82,241.6,220.89,512.78,1388.78,32.79,0.08,0.25,0.31,50.77,0.0,0.63,0.4,7.2,3.75,10.54,48.0,37.72,39.0,30.25,19.2
480.0,174.91,475.11,380.09,481.18,439.94,868.35,2351.77,68.35,2.12,0.0,0.08,53.19,5.41,1.26,0.8,12.32,6.0,7.9,36.0,5.34,0.0,38.89,25.6
480.0,183.0,720.51,576.41,321.26,293.72,740.96,2006.78,44.19,0.67,0.0,1.08,53.32,2.65,0.63,0.4,11.51,6.0,9.66,44.0,24.61,19.5,25.93,16.0
480.0,183.98,2181.31,1745.05,80.64,73.73,287.08,777.5,80.41,0.73,6.39,0.62,1.98,0.0,0.9,0.4,10.79,6.75,3.68,4.0,19.47,65.0,8.0,6.4
480.0,180.75,2025.6,1620.48,199.86,182.73,304.98,825.98,80.53,3.33,2.54,0.0,3.91,0.0,0.9,0.4,11.99,7.5,11.03,12.0,21.24,71.5,10.67,9.6
480.0,182.49,2077.24,1661.8,280.17,256.15,359.53,973.73,97.99,3.08,0.0,0.31,4.02,0.0,0.9,0.4,11.99,6.75,3.68,4.0,23.01,78.0,21.34,22.4
480.0,178.46,2286.53,1829.22,40.08,36.65,234.06,633.91,102.84,4.84,0.0,0.88,1.6,0.0,0.9,0.4,13.19,7.5,3.68,4.0,21.24,71.5,5.34,3.2
480.0,176.96,1744.68,1395.74,121.39,110.99,468.9,1269.94,92.19,3.69,23.13,0.0,3.06,0.0,1.8,0.8,11.84,6.75,7.35,8.0,23.01,78.0,10.67,9.6
480.0,188.73,1440.68,1152.54,160.13,146.4,378.62,1025.44,14.09,0.0,0.08,0.65,25.91,0.0,0.0,0.0,8.29,1.5,16.05,52.0,53.61,39.0,10.0,9.6
480.0,182.7,1426.19,1140.95,80.29,73.4,326.02,882.98,4.77,0.0,0.03,0.0,9.69,0.0,0.91,0.4,5.53,0.75,14.82,48.0,84.24,65.0,7.5,6.4
480.0,182.49,1372.91,1098.32,244.64,223.67,344.16,932.11,6.3,0.0,0.0,0.31,42.1,0.0,0.91,0.4,5.53,1.5,16.05,51.28,54.82,45.5,15.0,16.0
480.0,185.54,1640.49,1312.39,293.31,268.17,302.8,820.08,20.19,0.64,0.1,0.0,39.79,0.0,0.91,0.4,11.05,2.25,17.29,56.0,68.92,52.0,15.0,19.2
480.0,186.62,1419.52,1135.62,83.49,76.33,324.42,878.64,0.0,0.0,0.15,1.08,26.68,0.0,0.0,0.0,2.76,0.0,17.29,56.0,78.06,65.0,7.5,6.4
480.0,107.55,237.29,189.84,383.49,350.62,1106.17,2995.88,243.39,14.87,0.92,1.8,8.59,0.0,4.86,2.0,5.82,1.5,24.53,20.0,0.0,0.0,7.2,28.8
480.0,103.82,328.94,263.15,517.53,473.17,1079.59,2923.89,230.5,15.11,2.45,3.76,0.0,0.0,4.86,2.0,8.74,2.25,23.61,20.0,7.11,6.5,9.61,35.2
480.0,98.03,424.82,339.86,572.04,523.01,1012.88,2743.23,212.09,9.52,8.76,1.37,12.65,0.22,8.74,3.6,11.65,3.0,36.37,28.0,7.11,6.5,8.81,35.2
480.0,72.19,330.42,264.34,322.13,294.52,1116.99,3025.17,259.12,15.28,1.89,2.25,6.56,0.0,7.77,3.11,2.91,0.75,28.33,20.0,0.0,0.0,5.6,19.2
480.0,88.14,380.45,304.36,281.91,257.75,1052.83,2851.42,233.57,12.74,6.43,2.59,18.59,0.0,8.74,3.2,8.74,2.25,23.61,16.0,0.0,0.0,4.0,12.8
480.0,144.65,2238.46,1790.77,40.72,37.23,143.71,389.21,150.86,0.91,9.69,0.53,0.0,0.0,1.86,2.4,7.23,8.25,0.0,0.0,7.99,39.0,8.78,3.2
480.0,100.74,2201.47,1761.17,240.22,219.63,324.16,877.93,262.62,2.7,2.86,0.68,2.41,2.16,4.34,5.6,5.77,6.75,5.15,4.0,14.83,78.0,21.96,12.8
480.0,159.84,2197.1,1757.68,285.53,261.06,126.53,342.67,167.11,2.95,0.0,0.0,1.23,0.0,1.86,2.4,7.7,9.0,5.15,4.0,6.84,32.5,30.74,19.2
480.0,137.46,2110.31,1688.25,200.24,183.07,234.4,634.84,202.13,2.78,2.96,0.67,0.76,0.0,3.41,4.4,7.06,8.25,10.3,8.0,12.55,65.0,17.57,9.6
480.0,145.45,2297.7,1838.16,81.0,74.06,235.11,636.77,171.16,1.11,6.14,0.34,0.0,0.0,2.17,2.8,8.98,9.75,0.0,0.0,14.83,78.0,13.17,6.4
480.0,7.68,1783.69,1426.95,55.35,50.61,429.85,1164.18,297.94,9.87,4.41,0.0,14.01,0.0,4.63,0.8,2.12,0.75,7.69,24.0,46.55,58.5,20.89,6.4
480.0,26.42,2229.16,1783.33,121.33,110.93,354.86,961.09,332.8,1.95,1.2,2.2,7.19,0.0,7.72,1.6,2.12,0.75,1.28,4.0,53.95,71.5,41.79,9.6
480.0,15.47,2075.62,1660.5,362.43,331.37,396.69,1074.37,339.16,1.19,0.0,1.36,3.31,0.0,6.18,1.2,2.12,0.75,2.56,8.0,54.91,71.5,94.03,28.8
480.0,7.74,2102.7,1682.16,200.92,183.7,473.34,1281.96,347.75,2.45,0.9,0.0,23.16,7.02,3.09,0.4,0.0,0.0,3.85,12.0,44.14,58.5,52.24,12.8
480.0,11.3,2070.35,1656.28,85.01,77.73,449.96,1218.65,321.41,7.72,0.65,0.0,20.57,0.0,6.18,1.2,0.68,0.0,5.13,16.0,35.2,45.5,31.34,9.6
480.0,153.69,594.65,475.72,403.21,368.65,1099.57,2978.01,195.19,8.4,3.06,1.79,0.0,1.7,2.36,1.6,12.38,5.25,40.17,40.0,6.02,6.5,61.92,23.28
480.0,114.94,628.93,503.15,280.37,256.34,992.98,2689.31,199.2,8.92,7.39,0.6,2.4,7.47,4.12,2.8,12.76,5.25,24.1,24.0,12.04,13.0,54.18,19.2
480.0,174.79,991.82,793.46,211.74,193.59,854.59,2314.52,111.22,3.15,16.57,1.2,17.45,0.0,1.47,0.8,23.0,9.0,29.25,28.0,24.09,26.0,38.7,16.0
480.0,129.28,426.73,341.38,242.86,222.05,1038.01,2811.28,182.4,11.29,0.0,1.93,21.37,7.49,4.12,2.8,12.38,5.25,36.15,36.0,0.0,0.0,46.44,16.0
480.0,142.02,758.82,607.06,362.72,331.63,972.17,2632.97,187.07,11.93,15.33,1.22,33.72,0.92,2.95,2.0,11.16,4.5,28.12,24.0,0.0,0.0,55.1,22.4
480.0,90.45,96.42,77.14,482.25,440.91,1104.61,2991.66,258.45,0.72,0.0,0.11,1.83,22.03,6.34,3.2,5.27,9.75,8.65,8.0,4.83,6.5,83.9,22.4
480.0,83.07,96.0,76.8,402.52,368.01,1077.69,2918.74,206.03,1.13,0.0,0.77,0.36,23.23,7.13,3.2,5.64,11.25,8.65,8.0,4.83,6.5,68.73,16.0
480.0,133.51,96.6,77.28,322.71,295.05,1074.03,2908.84,203.49,1.24,0.0,3.21,1.18,15.53,4.75,2.4,4.51,8.25,8.65,8.0,4.83,6.5,80.19,19.2
480.0,114.71,94.47,75.57,283.47,259.17,1107.97,3000.75,234.36,1.14,0.0,3.63,2.76,7.5,6.34,3.2,4.51,9.0,8.65,8.0,4.83,6.5,80.19,19.2
480.0,87.19,46.95,37.56,120.24,109.93,1098.1,2974.02,285.0,0.93,0.0,2.52,3.85,7.42,9.38,4.4,2.67,5.25,5.77,4.0,4.83,6.5,34.37,6.4
480.0,188.73,1004.95,803.96,81.12,74.17,611.15,1655.21,29.09,1.13,16.0,0.65,18.13,0.0,0.0,0.0,3.08,3.0,31.13,24.0,41.98,78.0,16.89,6.4
480.0,182.7,855.01,684.01,200.09,182.94,663.87,1797.98,39.37,0.0,14.64,0.0,13.28,5.24,0.84,0.4,4.93,5.25,25.29,20.0,31.48,58.5,33.4,16.0
480.0,182.49,1083.11,866.49,281.03,256.94,485.87,1315.89,19.61,0.0,11.04,0.31,14.25,4.47,0.84,0.4,3.08,3.0,31.13,28.0,41.98,71.5,33.78,16.0
480.0,185.54,762.44,609.95,199.41,182.32,719.53,1948.72,39.23,0.0,16.25,0.0,18.46,4.32,0.84,0.4,3.69,3.75,31.13,24.0,31.48,58.5,28.15,12.8
480.0,186.62,718.89,575.11,200.28,183.11,734.68,1989.76,39.06,0.01,5.5,1.08,11.94,5.03,0.0,0.0,4.31,4.5,35.58,32.0,32.34,58.5,28.15,12.8
480.0,188.53,1494.74,1195.8,281.58,257.44,413.21,1119.11,29.08,0.45,13.49,0.0,3.23,5.47,0.56,0.4,6.26,3.75,23.08,32.0,11.75,84.5,40.46,12.8
480.0,182.7,1323.89,1059.11,200.62,183.42,438.23,1186.89,24.23,0.09,11.64,0.0,5.18,4.89,0.56,0.4,5.22,3.0,20.65,28.0,12.59,97.5,32.36,9.6
480.0,182.49,1235.16,988.13,199.82,182.69,459.71,1245.04,24.05,0.87,10.25,0.31,4.31,6.38,0.56,0.4,5.05,3.0,17.31,24.0,15.11,117.0,46.85,16.0
480.0,185.54,1180.6,944.48,159.75,146.06,486.85,1318.55,19.52,0.64,21.8,0.0,3.24,7.01,0.56,0.4,4.18,2.25,23.08,32.0,15.11,110.5,32.36,9.6
480.0,186.42,1234.91,987.93,79.25,72.45,487.14,1319.35,24.39,0.0,12.15,0.51,4.16,6.3,0.56,0.4,5.22,3.0,23.08,32.0,15.11,110.5,22.49,6.4
480.0,187.71,1004.34,803.47,40.02,36.59,757.15,2050.62,72.27,14.72,19.79,0.86,32.42,0.0,0.0,0.0,11.37,2.25,33.56,24.0,26.78,26.0,24.07,3.2
480.0,182.7,574.19,459.35,401.68,367.25,861.38,2332.91,63.99,0.13,6.49,0.0,29.89,25.24,1.19,0.4,28.41,6.75,35.45,28.0,13.39,9.34,78.67,19.2
480.0,182.49,768.12,614.5,204.32,186.81,757.38,2051.23,53.93,1.19,24.16,0.31,50.71,0.0,1.19,0.4,22.73,5.25,35.37,28.0,13.92,13.0,60.17,12.8
480.0,174.91,716.43,573.14,319.31,291.94,878.99,2380.59,102.53,8.79,4.84,0.08,40.47,8.24,2.38,0.8,17.38,4.5,45.47,36.0,6.7,6.5,84.24,19.2
480.0,167.99,521.0,416.8,200.83,183.62,946.3,2562.9,102.72,15.08,3.71,1.79,22.85,0.0,2.38,0.8,22.76,6.0,41.57,32.0,13.39,13.0,72.2,16.0
480.0,170.71,1848.14,1478.51,321.15,293.62,559.24,1514.61,130.18,1.28,0.74,1.09,24.29,4.06,1.54,0.8,11.31,8.25,12.56,32.0,41.15,45.5,32.93,19.2
480.0,151.03,1823.07,1458.46,240.03,219.45,561.58,1520.93,164.09,6.63,1.34,2.27,27.27,1.68,3.08,1.6,12.34,9.0,9.42,24.0,36.12,45.5,25.2,16.0
480.0,154.78,1426.67,1141.34,282.89,258.64,648.53,1756.45,127.51,4.71,1.93,1.6,22.88,0.0,3.08,1.6,12.34,8.25,14.44,36.0,36.01,45.5,37.63,25.6
