generation,individual,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,f_energy,f_emission,f_outputs_cost
1,32,17.35409633416363,9.861598858056883,13.154556676557759,15.550448800148217,12.731951178917424,0.7338949444526471,0.5456422200054575,64.8,0.8544305298443989,3606.646952121607,2444.2229582957652,0.915287029525972,0.9085565344226046,-0.9152542372881356
1,33,0.9708037171295136,7.984936389745794,6.599174193776982,9.231786620112088,8.548316688552152,0.9420244191246865,0.11932600012925731,50.0,0.6409129834443722,3016.6229282689064,1360.9649567713668,0.7655520143414609,0.5058923124823941,-0.7062146892655368
1,34,18.880491440250754,0.9149123798791914,18.764767264600696,6.660013843845265,14.541728888538401,0.0030934412623863095,0.4472758751299015,66.8,0.899987184206449,3757.487391492022,2398.0145408855524,0.9535669885894796,0.8913801310012699,-0.943502824858757
1,35,13.555257066035221,12.566499747500997,16.127379109593637,3.0684691591721913,8.024009906039382,0.613690447441781,0.02872925718014896,61.6,0.8654427940727978,3747.54323349182,1562.3594241700976,0.9510433817718543,0.5807538379952951,-0.8700564971751413
1,36,6.078345446740512,5.169836144245641,14.61212725951826,11.848749683337802,18.07927233836487,0.7009773735404422,0.29445570799761833,69.6,0.8638078608911062,4076.860610618717,2170.3889757348334,1.0346168304301577,0.8067680894044089,-0.983050847457627
1,37,6.484696205935883,2.4648970609114462,4.850870610629105,12.092400994368532,14.619927059570927,0.29589749297005674,0.3442300773798527,72.6,0.9346654929577465,4221.121417267121,2491.7901458636416,1.0712270245930673,0.926238014314698,-1.0254237288135593
1,38,3.583856012042228,17.670352313048344,2.4638325562875463,4.257231554063767,14.404772253289567,0.30198823213178283,0.11891256164587016,67.2,0.8835866845112911,4167.719062861613,1931.003187368145,1.0576746910870782,0.7177845858617901,-0.9491525423728814
1,39,10.445810527485866,1.6806249607484136,1.4958982469764415,11.91107552949796,14.653581152606716,0.6282420580873196,0.7428189512005124,65.2,0.8558380903117746,3480.3826734495233,2755.576945448275,0.8832439551427064,1.024291761679935,-0.92090395480226
1,40,5.883925526351181,7.422539510690063,5.306795497747516,7.4519398693447725,5.332576703146916,0.8341383229002534,0.14782792777695875,58.8,0.7616376014023073,3510.5886063542393,1610.6746751645783,0.8909095511850789,0.5987133849565556,-0.8305084745762712
1,41,4.157799595835381,14.281505931827175,7.958425215343244,6.825375144192054,19.489094377664475,0.89380117264771,0.2189429604720038,55.2,0.7111043833453472,3306.6657514044045,1600.1301498171322,0.8391584519959291,0.5947938172369697,-0.7796610169491526
