pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,n_replications,mean_inputs,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,sd_outputs,sd_energy,sd_emission,ci95_outputs_low,ci95_outputs_high,ci95_energy_low,ci95_energy_high,ci95_emission_low,ci95_emission_high,nondominated_after_reevaluation
12,5.926079681212036,9.342326804097585,1.2650736070046174,16.347381067828906,0.14802930758214572,0.9814272824224292,0.0006439035707069829,100,75.24,49.12,0.6578085417134543,2944.8200852109394,1170.344985943828,1.6035314562905,118.03421826836343,102.9752435684725,48.801824570215096,49.4381754297849,2921.399535536323,2968.2406348855557,1149.9124635563983,1190.7775083312579,True
13,0.6489214590087307,9.788585024129281,6.837004681949114,14.374165192899822,0.4456654664318984,0.8572266569607586,0.5217811033371731,100,76.01,57.38,0.7607319296966634,3170.2080327790154,2179.1600154497646,3.293029062131157,192.05537881383552,167.90490506749282,56.726591591310864,58.03340840868914,3132.100078951932,3208.3159866060987,2145.844039562127,2212.4759913374023,True
14,0.884053285393376,14.691543028184292,16.569394119876534,7.824563809913241,0.36952029393863395,0.8732008704230372,0.9079274752912387,100,76.02,51.98,0.690852952166799,2517.2813058006664,2484.0791465867064,2.352647337564535,159.58669550872804,106.12694724960768,51.51318372718826,52.44681627281173,2485.615843154299,2548.9467684470337,2463.0212578122523,2505.1370353611605,True
16,6.066486032545684,12.603535947193787,4.190699117772473,2.0107843396954554,3.6252755024257914,0.7863411622454716,0.4247385047946494,100,75.62,61.64,0.8199315564355255,3488.4080651457757,2172.779033812989,4.011397902391775,229.2684574599111,182.39323036418583,60.844051628282784,62.43594837171722,3442.9162291719554,3533.899901119596,2136.5882598600842,2208.9698077658936,True
17,0.884053285393376,9.767398564778567,1.2452142075775785,7.193885613973078,0.29495987497314147,0.39769625602127984,0.5867985714381407,100,76.02,70.1,0.9241272649661976,3769.7156044289213,2721.9798302652325,6.991336630343863,372.6561039535256,294.3594171696546,68.7127671344368,71.48723286556319,3695.772548574145,3843.658660283698,2663.572535726808,2780.387124803657,True
18,2.777037871333033,9.490853280783881,5.644019567695386,9.908017667052631,0.19889496768189474,0.31255701864623947,0.0456674995340155,100,75.84,62.64,0.8309214441089544,3796.12058072452,1586.0976452949635,3.063371088236361,187.5085557383175,138.9191293823626,62.03216071579598,63.24783928420402,3758.914815239632,3833.3263462094083,1558.5330761540324,1613.6622144358946,True
19,1.3847708553262856,11.257932364984075,1.4097627709486569,7.352692594863227,0.36952029393863395,0.37121517149997096,0.06316957862457162,100,75.72,63.44,0.8426699739130773,3791.699102125013,1610.988766873666,3.5228546734864117,192.57647887679434,159.92547511502022,62.74098920391666,64.13901079608333,3753.487750740094,3829.910453509932,1579.2560830035357,1642.7214507437964,True
21,4.90572765574562,9.637037146263687,14.98568304949525,14.487972746800562,3.4930903809179608,0.8364075910465618,0.516777817113359,100,76.1,59.02,0.7801332505525836,3281.338852963202,2205.5373704833682,3.8585599449127193,220.5097223299387,199.07957064060508,58.25437799488918,59.785622005110824,3237.5849400612483,3325.092765865156,2166.035664606952,2245.0390763597843,True
22,0.647161599858439,12.745510289925974,3.9710929578890095,16.946562405632378,3.283577009694691,0.35317901099490334,0.057967256742458756,100,77.54,63.68,0.8268459318060689,3843.0466303315065,1625.1796142722987,3.110360659850146,190.15865682422606,160.8677300697205,63.06283696534196,64.29716303465804,3805.3150272968314,3880.7782333661817,1593.2599665767925,1657.099261967805,True
23,6.710680728753456,8.476898697848814,4.859851771773252,18.959557090563738,0.15488668107755488,0.8219483715945136,0.9146899887866822,100,77.35,52.66,0.6862397719071031,2589.190457296538,2513.667523614518,2.551371190065246,162.49854328866516,104.0380684564812,52.15375260350816,53.16624739649183,2556.9472208776547,2621.4336937154217,2493.0241137111607,2534.310933517875,True
24,7.703476949339289,10.42746613342395,4.942662623150701,3.643605744472819,1.394927355892582,0.7847552654815673,0.21540636693814005,100,76.0,61.42,0.8120438309458771,3594.708896344791,1819.6121727988993,4.146752410689063,242.74889948984423,200.28071905751779,60.597194357300125,62.24280564269988,3546.5422482120084,3642.8755444775734,1779.872133017472,1859.3522125803267,True
