pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,f_energy,f_emission,f_outputs_cost
13,0.6489214590087307,9.788585024129281,6.837004681949114,14.374165192899822,0.4456654664318984,0.8572266569607586,0.5217811033371731,0.7407902531129157,0.7556167850910244,-0.7542372881355932
14,0.884053285393376,14.691543028184292,16.569394119876534,7.824563809913241,0.36952029393863395,0.8732008704230372,0.9079274752912387,0.6520404569730847,0.9129381907579925,-0.7401129943502825
15,4.928738599493539,13.097362835456998,18.866200339741656,14.488537968127128,3.5229753659799607,0.8123847712245275,0.03617901702369386,0.9024116256753293,0.5516794525201074,-0.8418079096045198
16,6.066486032545684,12.603535947193787,4.190699117772473,2.0107843396954554,3.6252755024257914,0.7863411622454716,0.4247385047946494,0.9396757405868381,0.8395804566365945,-0.92090395480226
17,0.884053285393376,9.767398564778567,1.2452142075775785,7.193885613973078,0.29495987497314147,0.39769625602127984,0.5867985714381407,0.9431957333960913,1.0217282622775576,-0.9887005649717514
18,2.777037871333033,9.490853280783881,5.644019567695386,9.908017667052631,0.19889496768189474,0.31255701864623947,0.0456674995340155,0.96393512628575,0.5769733531692042,-0.8813559322033898
19,1.3847708553262856,11.257932364984075,1.4097627709486569,7.352692594863227,0.36952029393863395,0.37121517149997096,0.06316957862457162,0.9827849735815188,0.6169470226983339,-0.9067796610169492
20,6.0470133262385275,11.600819502239545,1.2955942453395877,11.122113673506739,10.336785762448839,0.3949345123692859,0.43133685717095205,1.1111927966781123,0.9643069740447382,-1.0988700564971752
21,4.90572765574562,9.637037146263687,14.98568304949525,14.487972746800562,3.4930903809179608,0.8364075910465618,0.516777817113359,0.8077869571937665,0.8221227703655755,-0.8305084745762712
22,0.647161599858439,12.745510289925974,3.9710929578890095,16.946562405632378,3.283577009694691,0.35317901099490334,0.057967256742458756,0.9721016522943313,0.5944509791026947,-0.8954802259887006
23,6.710680728753456,8.476898697848814,4.859851771773252,18.959557090563738,0.15488668107755488,0.8219483715945136,0.9146899887866822,0.66231235464557,0.9252615343371025,-0.7457627118644068
24,7.703476949339289,10.42746613342395,4.942662623150701,3.643605744472819,1.394927355892582,0.7847552654815673,0.21540636693814005,0.9304794734080541,0.7032629145412135,-0.8870056497175142
25,2.777037871333033,7.374698754275373,3.861893670130489,10.298606323394425,0.19889496768189474,0.4134844113725895,0.49693104389606063,1.0645369730596494,1.0360366681264743,-1.0847457627118644
26,6.885240750958621,17.253962256476612,10.542984008460355,19.36520764694197,11.97502256669619,0.9214226739403363,0.8904832699030467,0.6549732271358797,0.8979369647691379,-0.711864406779661
27,7.867203861967462,14.880853344926365,3.4068206465338173,10.804862081731313,3.242581905790511,0.8713522112935947,0.4302155503992776,0.7928092259202982,0.6901639405172454,-0.7796610169491526
