pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,n_replications,mean_inputs,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,sd_outputs,sd_energy,sd_emission,ci95_outputs_low,ci95_outputs_high,ci95_energy_low,ci95_energy_high,ci95_emission_low,ci95_emission_high,nondominated_after_reevaluation,score_equal,score_throughput_priority,score_sustainability_priority,score_energy_priority,score_emission_priority
51,5.820619821486974,10.539460989031747,1.3137525923585314,11.512648133779232,12.705285197620396,0.5443022918059205,0.1018290989017106,100,75.36,65.0,0.8667340098948138,3922.36367062954,1737.6020465701597,3.789938833759242,244.70656640700523,193.54285814216328,64.24799391208738,65.75200608791262,3873.8085789085135,3970.918762350567,1699.1989445732474,1776.0051485670715,True,0.5250605667485667,0.43217335436406845,0.5715041729408159,0.6791605712480144,0.4638477746336173
52,6.106836172793367,18.935177126253446,2.5524858197747284,10.612209438685364,12.739281466599142,0.5337039270854638,0.4176832476355437,100,76.11,71.17,0.935398913226682,4049.744090158191,2486.267056637,6.361270122841631,343.37589516514856,251.10527974710507,69.9077859989132,72.4322140010868,3981.610862965575,4117.877317350806,2436.4423213682467,2536.091791905754,True,0.618521868461096,0.38730944009506246,0.7341280826441129,0.7620268282470873,0.7062293370411383
53,0.7642079423922632,8.476898697848814,3.844286312219255,16.198899987385502,0.8267164542530043,0.8557253461504835,0.4256733013193075,100,75.88,57.42,0.7625865426088585,3229.944439394412,1989.3896688028167,3.2942557903297693,186.06059938590224,177.32729723931226,56.7663481818222,58.0736518181778,3193.0259798634743,3266.8628989253493,1954.2040858880705,2024.5752517175629,True,0.5592623398057648,0.5767025981574875,0.5505422106299035,0.5540584033010622,0.5470260179587447
54,6.520763149990415,7.3392178530948815,0.3898842818232864,16.25882583190138,0.8120429512777076,0.9814867136192366,0.4255936771680871,100,76.04,49.13,0.6524913764398818,2760.9479805237947,1710.9292097882194,1.5152757524822358,117.83578812831276,135.9370328695926,48.82933641657147,49.43066358342853,2737.5668036939364,2784.329157353653,1683.9563532924556,1737.9020662839832,True,0.5323406829445101,0.6961733259221253,0.4504243614557025,0.43927039595268036,0.4615783269587247
55,15.11582378342458,12.059391522449705,11.631980946578352,19.33479462449665,17.520796005169327,0.9329044903570008,0.0513988198900803,100,76.17,52.57,0.6963100706384896,3221.010854133149,1325.2968344171636,2.7275437575765764,183.51869431866223,124.7028437298438,52.02879614402349,53.11120385597651,3184.5967637145664,3257.424944551732,1300.5530847741545,1350.040584060173,True,0.48610210754131705,0.6121520620708025,0.4230771302765744,0.5082834346169601,0.3378708259361886
56,6.296061475615644,10.423983970659172,6.278087837396255,3.6986416189902336,4.001423553799306,0.7952348253366668,0.8861497621928562,100,76.31,54.11,0.7140074501573879,2667.689006927443,2541.015065954281,2.5971818448760065,170.22860546097354,111.63707017528748,53.59466277572464,54.62533722427536,2633.9119584687087,2701.4660553861777,2518.8638492484247,2563.166282660138,True,0.6202411357083792,0.66744120494241,0.5966411010913639,0.4723972997045676,0.7208849024781603
57,10.845296266942356,9.556370136461505,1.7988442242004146,10.11209286769274,1.2464500427708316,0.7769652407015009,0.0093307882400453,100,75.63,58.79,0.782000053987357,3538.1639563695485,1413.8860728527443,2.671567466352427,180.94956855442047,120.96110128899296,58.25990305461644,59.32009694538356,3502.2596362401623,3574.0682764989347,1389.8847660876663,1437.8873796178225,True,0.47525827306063484,0.5038870701758492,0.46094387450302776,0.5684778516927533,0.3534098973133021
58,3.15154829653988,7.302146048800116,0.6984208667457699,9.916307385182352,0.1988949676818947,0.3710830347978155,0.5012736815472516,100,75.87,71.15,0.9384778654225155,3915.752691718603,2631.603311016764,7.357226914999147,388.4985214397039,308.8793027461662,69.69016656391628,72.60983343608373,3838.666156530931,3992.8392269062742,2570.3149561688515,2692.8916658646767,True,0.625450360821132,0.39179373387509214,0.742278674294152,0.7380040875299341,0.7465532610583697
59,4.937667914614909,4.396616181065992,4.199975835131163,0.2413140033308156,0.3186714395418288,0.8075217054181806,0.4660059876192896,100,76.52,60.61,0.7970735953710766,3392.6664850944403,2155.956184142606,4.211324319647267,254.5782248461055,202.6094916382866,59.77438188966551,61.445618110334486,3342.1526421719773,3443.180328016904,2115.754065358082,2196.1583029271305,True,0.5788323620744056,0.5362564724593673,0.6001203068819247,0.600022617762336,0.6002179960015134
60,2.536460714445792,7.374698754275373,3.861893670130489,8.084487692102527,0.4030844780119883,0.4134844113725895,0.4868731190303977,100,76.64,71.89,0.9392071003554006,3976.383418918884,2651.0980623364558,6.49458982305249,360.2059118120008,303.91214427185434,70.60133247800034,73.17866752199966,3904.910751293783,4047.8560865439854,2590.795299493099,2711.400825179812,True,0.6300305375038311,0.38243550041640906,0.7538280560475422,0.7535034893468698,0.7541526227482145
61,7.821492268772229,8.129454284749814,1.2652320806645276,10.804862081731311,0.1480293075821457,0.9990686417150672,0.892278507189723,100,76.19,47.82,0.6329903337649342,2310.4567476072693,2264.207341192687,0.9143082609052572,99.33179782827035,82.56189992624255,47.638581404980734,48.00141859501927,2290.7471638998004,2330.1663313147383,2247.825269054446,2280.5894133309284,True,0.5859833637603762,0.7497904272541807,0.5040798320134738,0.3767128397998578,0.6314468242270899
62,4.994517598504416,14.691543028184292,0.3044214171919178,7.824563809913241,5.709890626930617,0.4235867651184993,0.8727881334984879,100,75.02,56.71,0.7604902047133482,2917.4454087013173,2621.7830657428594,3.134348642723304,193.85133740081824,110.09160901298446,56.08807722911702,57.33192277088298,2878.981097726984,2955.90971967565,2599.9385020606164,2643.6276294251024,True,0.6453159187157523,0.6399502874257704,0.6479987343607434,0.5399686343206291,0.7560288344008577
63,4.934992172051757,11.586238377527446,1.1502734703048232,11.12211367350674,9.679875666500743,0.4796919976180237,0.4016095808399035,100,76.63,71.95,0.9404477844086406,4092.948212322423,2481.3662675578976,7.259093913460857,392.5295906944261,284.8061297497772,70.50963828043174,73.39036171956826,4015.061825539959,4170.834599104887,2424.854552503589,2537.8779826122063,True,0.6144435339491519,0.3721017031915769,0.7356144493279394,0.7686661203694911,0.7025627782863875
64,9.209467879528995,9.443673623843493,11.475676885925214,10.808587237413146,1.2464500427708316,0.9743693239310276,0.9498584407842132,100,75.57,48.72,0.6492375661918834,2284.678364706004,2403.3749200879884,1.3859322064257258,104.30620735348607,85.49808706998083,48.44500098223682,48.99499901776318,2263.9817502281667,2305.37497918384,2386.4102447194064,2420.3395954565704,True,0.5980553300650464,0.7423096806566147,0.5259281547692622,0.3785345476494193,0.6733217618891052
65,5.459177792396833,11.355262073309968,5.277152999454234,18.595838571883423,0.8540116901648808,0.5361760261281455,0.1099216111634585,100,76.81,66.2,0.8671069890289074,3920.2643556282414,1784.1298971625924,4.247399679851667,265.60545284570753,208.93075172771984,65.35722375554057,67.04277624445943,3867.562471433283,3972.9662398232017,1742.673503235633,1825.586291089552,True,0.517981411518857,0.40829395938575175,0.5728251375854096,0.674471569525179,0.47117870564564024
